"IFRS17_group_NB_RI","CSM_LCpergroup","CoverageUnits","CurrRA","CurrInitExp","FutRIPrems","FutRIClaims","CSM_LRecC_released","Interest_Accreted_NB","Interest_accBEL","Interest_accRA_NB_RI","PVFCurrPrems","CurrClaims","PVClaims","PVFinre","RA","BEL","TotPVClaims","PVRiskRIPrems","PVPremiums","TotFinReIncome","TotFinReRepayment"
"2017_NB_Non-onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2017_NB_Onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2017_NB_Remaining_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2018_NB_Non-onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2018_NB_Onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2018_NB_Remaining_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2019_NB_Non-onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2019_NB_Onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2019_NB_Remaining_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2020_NB_Non-onerous_202",-3901290.60983987,0.0638464806028108,19652.5533336068,0,0,3589316.71468269,-249083.675247069,-226733.608497537,-226733.608497537,13604.0165098522,0,327542.555560113,3901290.60983987,NA,234077.436590392,-3901290.60983987,3901290.60983987,NA,0,NA,42453887.5373836
"2020_NB_Onerous_202",-2826658.69876454,0.0594319702639472,19777.7981934379,0,0,2512674.72452097,-167993.895731302,-164278.591588475,-164278.591588475,9856.71549530847,0,329629.969890632,2826658.69876454,NA,169599.521925872,-2826658.69876454,2826658.69876454,NA,0,NA,22334433.1056411
"2020_NB_Remaining_202",-438592.840273146,0.0637652969783126,2403.57476121172,0,0,400433.337588511,-27967.0027125788,-25489.9589088535,-25489.9589088535,1529.39753453121,0,40059.5793535286,438592.840273146,NA,26315.5704163888,-438592.840273146,438592.840273146,NA,0,NA,4509837.82982833
"Total",-7166542.14887756,NA,41833.9262882564,0,0,6502424.77679217,NA,-416502.158994865,-416502.158994865,24990.1295396919,0,697232.104804274,7166542.14887756,NA,429992.528932653,-7166542.14887756,7166542.14887756,NA,0,NA,69298158.472853
